NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
301.5,215812,184646,77453,85930,97808,132330,28339,
302.5,204291,182196,82340,82700,99518,130209,26155,
303.5,193243,179680,87727,79747,101339,128347,24071,
304.5,182656,177107,93643,77058,103267,126746,22111,
305.5,172518,174485,100117,74617,105294,125406,20312,
306.5,162816,171825,107176,72412,107414,124329,18725,
307.5,153539,169136,114847,70431,109619,123514,17420,
308.5,144674,166429,123152,68661,111901,122963,16480,
309.5,136211,163714,132108,67094,114250,122675,15995,
310.5,128137,161002,141728,65720,116656,122649,16034,
311.5,120441,158303,152017,64530,119109,122880,16626,
312.5,113114,155627,162970,63516,121595,123365,17748,
313.5,106144,152984,174573,62672,124104,124096,19336,
314.5,99520,150384,186799,61992,126622,125064,21313,
315.5,93233,147835,199607,61471,129134,126256,23603,
316.5,87271,145346,212940,61103,131626,127657,26137,
317.5,81624,142924,226726,60885,134083,129248,28856,
318.5,76283,140577,240872,60813,136490,131007,31713,
319.5,71236,138312,255269,60884,138829,132906,34661,
320.5,66473,136134,269788,61095,141085,134915,37659,
321.5,61984,134050,284283,61445,143241,137000,40667,
322.5,57758,132062,298587,61932,145280,139124,43644,
323.5,53786,130176,312523,62555,147187,141245,46548,
324.5,50056,128395,325895,63312,148945,143321,49339,
325.5,46559,126722,338502,64202,150540,145305,51974,
326.5,43283,125158,350135,65225,151955,147151,54410,
327.5,40219,123705,360585,66379,153177,148813,56606,
328.5,37357,122365,369649,67664,154193,150246,58521,
329.5,34686,121137,377135,69079,154992,151406,60118,
330.5,32196,120021,382867,70622,155562,152254,61364,
331.5,29878,119018,386692,72292,155895,152755,62228,
332.5,27723,118125,388487,74087,155983,152881,62690,
333.5,25721,117341,388164,76005,155819,152610,62733,
334.5,23862,116664,385672,78042,155401,151928,62351,
335.5,22139,116092,381002,80195,154725,150831,61543,
336.5,20543,115621,374189,82460,153791,149321,60322,
337.5,19066,115249,365309,84830,152601,147411,58707,
338.5,17700,114970,354485,87301,151157,145122,56727,
339.5,16437,114781,341874,89864,149464,142484,54419,
340.5,15271,114676,327671,92511,147529,139532,51831,
341.5,14195,114651,312099,95233,145361,136308,49016,
342.5,13203,114699,295401,98020,142970,132858,46034,
343.5,12288,114813,277838,100859,140366,129233,42952,
344.5,11444,114988,259676,103737,137564,125482,39838,
345.5,10667,115214,241177,106641,134577,121655,36768,
346.5,9952,115485,222598,109555,131419,117802,33818,
347.5,9294,115791,204179,112463,128108,113967,31065,
348.5,8687,116124,186139,115349,124659,110192,28585,
349.5,8130,116473,168670,118194,121090,106511,26449,
350.5,7616,116829,151936,120980,117419,102956,24714,
351.5,7144,117181,136070,123688,113662,99549,23415,
352.5,6710,117518,121174,126300,109837,96308,22559,
353.5,6311,117830,107319,128796,105962,93243,22120,
354.5,5943,118103,94546,131157,102054,90361,22039,
355.5,5605,118327,82871,133365,98130,87660,22243,
356.5,5294,118490,72286,135403,94205,85136,22651,
357.5,5008,118580,62764,137253,90294,82780,23189,
358.5,4745,118586,54261,138901,86413,80581,23794,
359.5,4503,118496,46720,140332,82574,78525,24418,
360.5,4280,118299,40078,141533,78790,76596,25024,
361.5,4076,117985,34263,142494,75072,74778,25586,
362.5,3887,117545,29202,143207,71431,73054,26087,
363.5,3714,116969,24822,143664,67876,71409,26516,
364.5,3555,116251,21050,143862,64415,69826,26867,
365.5,3408,115382,17816,143797,61056,68292,27137,
366.5,3273,114359,15057,143472,57803,66793,27326,
367.5,3150,113176,12711,142886,54662,65317,27435,
368.5,3036,111832,10724,142046,51637,63855,27465,
369.5,2932,110326,9045,140958,48731,62398,27421,
370.5,2836,108657,7631,139630,45944,60940,27306,
371.5,2749,106829,6442,138074,43280,59475,27123,
372.5,2669,104845,5445,136300,40737,57999,26877,
373.5,2595,102711,4610,134323,38316,56511,26571,
374.5,2529,100434,3912,132157,36015,55009,26212,
375.5,2468,98022,3327,129819,33832,53494,25802,
376.5,2413,95484,2839,127324,31766,51965,25347,
377.5,2363,92833,2431,124689,29813,50426,24851,
378.5,2319,90080,2091,121933,27971,48879,24319,
379.5,2279,87238,1806,119073,26236,47326,23756,
380.5,2243,84320,1567,116126,24604,45772,23165,
381.5,2212,81341,1368,113108,23072,44220,22552,
382.5,2184,78316,1201,110038,21636,42675,21921,
383.5,2160,75258,1061,106930,20291,41140,21275,
384.5,2140,72183,944,103800,19034,39620,20620,
385.5,2123,69104,845,100662,17860,38119,19959,
386.5,2109,66036,763,97530,16765,36641,19295,
387.5,2099,62991,694,94417,15745,35189,18633,
388.5,2091,59982,637,91334,14795,33768,17975,
389.5,2087,57020,589,88290,13913,32380,17324,
390.5,2085,54117,549,85296,13093,31028,16683,
391.5,2086,51281,517,82360,12333,29715,16054,
392.5,2090,48521,492,79488,11628,28444,15439,
393.5,2096,45845,472,76686,10976,27215,14840,
394.5,2105,43259,457,73961,10373,26031,14258,
395.5,2117,40767,448,71316,9815,24893,13694,
396.5,2131,38374,442,68754,9301,23800,13150,
397.5,2147,36083,442,66279,8826,22755,12626,
398.5,2166,33896,445,63891,8389,21758,12123,
399.5,2188,31814,454,61591,7988,20807,11640,
400.5,2212,29837,467,59381,7619,19903,11178,
401.5,2239,27965,485,57260,7280,19046,10736,
402.5,2268,26195,509,55228,6971,18234,10315,
403.5,2299,24527,540,53284,6688,17468,9913,
404.5,2334,22958,578,51425,6431,16745,9531,
405.5,2371,21486,625,49651,6197,16066,9167,
406.5,2411,20106,681,47960,5985,15428,8821,
407.5,2453,18815,750,46349,5794,14832,8492,
408.5,2498,17610,833,44816,5623,14276,8180,
409.5,2547,16487,933,43359,5471,13759,7882,
410.5,2598,15442,1053,41974,5336,13281,7598,
411.5,2653,14471,1199,40660,5218,12840,7328,
412.5,2710,13570,1374,39413,5117,12437,7070,
413.5,2771,12734,1586,38231,5031,12071,6822,
414.5,2836,11961,1843,37111,4960,11742,6584,
415.5,2904,11246,2155,36050,4903,11452,6354,
416.5,2976,10586,2533,35046,4861,11201,6132,
417.5,3052,9977,2994,34096,4833,10990,5915,
418.5,3132,9415,3554,33196,4819,10823,5703,
419.5,3217,8898,4237,32346,4818,10703,5496,
420.5,3306,8423,5070,31541,4831,10634,5293,
421.5,3400,7986,6084,30780,4858,10622,5095,
422.5,3498,7585,7319,30060,4899,10672,4906,
423.5,3602,7217,8822,29380,4955,10795,4732,
424.5,3712,6881,10647,28736,5025,11000,4585,
425.5,3828,6574,12860,28126,5110,11300,4484,
426.5,3949,6293,15536,27549,5211,11708,4457,
427.5,4078,6037,18761,27003,5329,12241,4546,
428.5,4213,5805,22633,26484,5463,12920,4798,
429.5,4355,5595,27263,25993,5616,13764,5260,
430.5,4506,5404,32768,25527,5788,14799,5972,
431.5,4664,5233,39279,25083,5980,16048,6962,
432.5,4831,5079,46929,24662,6193,17539,8246,
433.5,5007,4943,55854,24260,6429,19299,9841,
434.5,5194,4822,66185,23876,6689,21353,11759,
435.5,5390,4715,78038,23510,6976,23726,14014,
436.5,5597,4623,91511,23159,7289,26436,16616,
437.5,5817,4544,106666,22822,7633,29496,19572,
